id_jogador,nome_jogador
364,ZÉZINHO
365,APONTADOR
366,FLACO LOPES
367,BISPO
368,FEDATO
369,GENTILE
370,HELMANS
371,MARQUES
372,MARRON
373,BROWN
374,XAVI
375,ZEQUEU
376,COMUM
377,GUTIERRES
378,EDMUNDO
379,STEIN
380,DALI
381,LUVA
382,MOLDAVIA
383,DENER
384,ZIRCONIO
385,ORTIZ
386,RAUL
387,CITOLIN
388,ALTURA
389,LAURA
390,TITA
391,BUTRAGUENO
392,ESPINA
393,GAJO
394,ANGELO
395,EMERSON
396,CACAU
397,MINEIRO
398,MIRANDA
399,FONTANA
400,BIERLENS
401,JAIME
402,MARCO ANTONIO
403,CIRINHO
404,TOCHNER
405,BRILSS
406,CIENFUEGOS
407,CEMAR
408,JOÃO
409,ATHIRSON
410,MARIO KEMPES
411,MENDOÇA
412,ROONEY
413,NAYSMIT
414,AZÃ
415,CABANHAS
416,FLÁVIO
417,URRUTHIA
418,KEYRISON
419,BONIEK
420,ZICO
421,ACRILEX
422,SANDOVAL
423,TODI
424,ROBERTO
425,OZZIL
426,CARAMBOLA
427,SORONDO
428,DONATO
429,MÁRCIO
430,RUBEM PAZ
431,WXY
432,ELKAJER
433,DANILO
434,BASTIANI
435,GABRIEL
436,GARECA
437,CLAUDIO
438,SEEDORF
439,VICENTE
440,LUIS FABIANO
441,ALONSO
442,VELOSO
443,DAGLISH
444,GAMALHO
445,NOÉ
446,FÉLIX
447,HIERRO
448,LAFAIETTE
449,FURADO
450,PINTURAS
451,HELINHO
452,FRANCESCOLI
453,HELLMANS
454,TILIBRA
455,HAMM
456,ALISSON
457,LINEKER
458,FALCÃO
459,ED CARLOS
460,ZÉ ROBERTO
461,DIOGO LOW
462,PEDRO FU
463,NORONHA
464,FIDELIS
465,WAGNER
466,BAGGIO
467,CABRINE
468,ALCANTARA
469,LULA
470,VULCANO
471,MARTINEZ
472,GIOVANIO
473,LOIVO
474,MULLER
475,DATO
476,FUCINNI
477,CARPANO
478,RONALDINHO
479,ABNER
480,NESSIM
481,BOKITA
482,BALDOCHI
483,ROMEU
484,CARLTON
485,FREDY
486,GEILSON
487,MANCINI
488,VARGAS
489,SABELA
490,ORTEMAN
491,LEÃO
492,PRAXEDES
493,NECA
494,CÉLIO
495,DARCI MENEZES
496,SOARES
497,BATAGLIA
498,KAHM
499,PAULO TURRA
500,VAMPETA
501,MARTIM LUTIO
502,ARTURZINO
503,MARCELINHO
504,DATOLO
505,MELGARA
506,OITO88
507,PERFUMO
508,PAOLO
509,PUBI
510,ISÓCELES
511,GATUSO
512,INACIO
513,ZE CARLOS
514,AZAMBUJA
515,ALEX
516,DRACENA
517,VIALE
518,EDU
519,KARINE
520,MOISES
521,RAUDINEI
522,SOUSA
523,RAMON
524,BREITNER
525,HELENO
526,LUQUE
527,ARILSON
529,FLECHA
530,HERRERA
